name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Deportivo A Coruña vs Sevilla,2026-09-16 17:00:00,Sevilla won after full-time.,Spain La Liga,Deportivo A Coruña,Sevilla,0.0,1.0,7,6,4.0,4.0,1.0,3.0,4.0,11.0,82.0,148.0,43.0,54.0,53.0,47.0,,,1.0,5.0,3.0,6.0,,,6.0,3.0,4.0,6.0,15.0,16.0,5.0,3.0,1.0,4.0,2.79,3.09,2.9,,,,,2.08,1.8,,,2.62,3.0,2.9,1.95,1.8,,,,,,,0.36,0.32,0.34,,,,,0.48,0.56,,,0.38,0.33,0.34,0.51,0.56,,,,,,,2026-2027
Atlético de Madrid vs Osasuna,2026-09-16 17:00:00,Atlético de Madrid won after full-time.,Spain La Liga,Atlético de Madrid,Osasuna,4.0,0.0,5,11,8.0,0.0,7.0,1.0,26.0,3.0,133.0,82.0,66.0,21.0,68.0,32.0,,,18.0,3.0,8.0,0.0,1.0,1.0,6.0,9.0,17.0,2.0,8.0,12.0,1.0,7.0,1.0,2.0,1.33,5.35,10.75,,,,,,,,,1.36,4.5,9.0,1.75,2.0,,,,,1.97,1.87,0.75,0.19,0.09,,,,,,,,,0.74,0.22,0.11,0.57,0.5,,,,,0.51,0.53,2026-2027
FC Barcelona vs Racing Santander,2026-09-16 19:30:00,FC Barcelona won after full-time.,Spain La Liga,FC Barcelona,Racing Santander,7.0,2.0,1,10,18.0,0.0,15.0,2.0,30.0,5.0,135.0,45.0,85.0,9.0,69.0,31.0,3.0,0.0,23.0,5.0,7.0,0.0,3.0,2.0,1.0,17.0,22.0,5.0,10.0,13.0,0.0,3.0,3.0,2.0,1.07,16.0,31.0,,,,,,,,,1.05,15.0,26.0,2.1,1.66,,,,,,,0.93,0.06,0.03,,,,,,,,,0.95,0.07,0.04,0.48,0.6,,,,,,,2026-2027
Real Betis vs Getafe,2026-09-17 17:00:00,Real Betis won after full-time.,Spain La Liga,Real Betis,Getafe,1.0,0.0,5,15,4.0,3.0,8.0,4.0,22.0,8.0,109.0,76.0,59.0,31.0,75.0,25.0,,,9.0,3.0,13.0,5.0,0.0,3.0,5.0,8.0,15.0,6.0,13.0,24.0,2.0,6.0,1.0,5.0,1.51,4.15,7.75,,,1.82,2.08,1.84,2.05,2.02,1.89,1.53,4.0,6.5,1.75,2.0,,,,,2.02,1.82,0.66,0.24,0.13,,,0.55,0.48,0.54,0.49,0.5,0.53,0.65,0.25,0.15,0.57,0.5,,,,,0.5,0.55,2026-2027
Málaga vs Villarreal,2026-09-17 19:30:00,Villarreal won after full-time.,Spain La Liga,Málaga,Villarreal,1.0,3.0,18,19,4.0,8.0,4.0,5.0,5.0,16.0,73.0,124.0,23.0,81.0,37.0,63.0,0.0,1.0,4.0,12.0,1.0,4.0,1.0,3.0,6.0,5.0,4.0,11.0,17.0,10.0,3.0,0.0,5.0,1.0,3.41,3.6,2.19,,,,,,,,,3.5,3.6,2.05,2.25,1.57,,,,,,,0.29,0.28,0.46,,,,,,,,,0.29,0.28,0.49,0.44,0.64,,,,,,,2026-2027
Espanyol vs Elche,2026-09-18 19:00:00,Elche won after full-time.,Spain La Liga,Espanyol,Elche,1.0,3.0,8,20,3.0,3.0,14.0,2.0,23.0,9.0,150.0,75.0,92.0,26.0,66.0,34.0,,,13.0,6.0,10.0,3.0,9.0,2.0,4.0,16.0,16.0,9.0,14.0,9.0,3.0,4.0,2.0,2.0,1.8,3.73,4.85,,,1.81,2.05,1.89,1.94,1.85,2.06,1.75,3.8,4.33,2.05,1.7,,,,,1.82,2.02,0.56,0.27,0.21,,,0.55,0.49,0.53,0.52,0.54,0.49,0.57,0.26,0.23,0.49,0.59,,,,,0.55,0.5,2026-2027
Osasuna vs Rayo Vallecano,2026-09-19 12:00:00,Game ended in draw.,Spain La Liga,Osasuna,Rayo Vallecano,1.0,1.0,13,11,4.0,4.0,4.0,9.0,9.0,19.0,82.0,89.0,32.0,41.0,37.0,63.0,,,8.0,6.0,1.0,13.0,2.0,0.0,10.0,7.0,4.0,9.0,21.0,13.0,1.0,2.0,3.0,2.0,2.76,3.23,2.81,,,,,2.04,1.84,1.99,1.91,2.5,3.4,2.8,2.05,1.7,,,,,1.97,1.87,0.36,0.31,0.36,,,,,0.49,0.54,0.5,0.52,0.4,0.29,0.36,0.49,0.59,,,,,0.51,0.53,2026-2027
Athletic Club vs Deportivo Alavés,2026-09-19 14:15:00,Game ended in draw.,Spain La Liga,Athletic Club,Deportivo Alavés,,,8,6,5.0,1.0,10.0,2.0,24.0,2.0,87.0,31.0,38.0,8.0,69.0,31.0,1.0,0.0,9.0,0.0,15.0,2.0,0.0,3.0,4.0,11.0,15.0,3.0,13.0,12.0,0.0,6.0,2.0,0.0,1.63,3.88,6.29,,,,,1.81,2.08,1.96,1.94,1.61,4.0,5.25,1.9,1.9,,,,,1.95,1.9,0.61,0.26,0.16,,,,,0.55,0.48,0.51,0.52,0.62,0.25,0.19,0.53,0.53,,,,,0.51,0.53,2026-2027
Celta de Vigo vs Racing Santander,2026-09-19 16:30:00,Celta de Vigo won after full-time.,Spain La Liga,Celta de Vigo,Racing Santander,5.0,0.0,18,12,3.0,3.0,2.0,4.0,13.0,11.0,93.0,109.0,47.0,43.0,41.0,59.0,1.0,0.0,8.0,6.0,5.0,5.0,3.0,1.0,13.0,5.0,11.0,9.0,13.0,11.0,5.0,4.0,2.0,5.0,1.83,3.85,4.45,,,,,,,,,1.75,3.75,4.5,2.1,1.66,,,,,,,0.55,0.26,0.22,,,,,,,,,0.57,0.27,0.22,0.48,0.6,,,,,,,2026-2027
Sevilha vs FC Barcelona,2026-09-19 19:00:00,FC Barcelona won after full-time.,Spain La Liga,Sevilla,FC Barcelona,1.0,3.0,5,1,1.0,3.0,4.0,12.0,7.0,24.0,97.0,127.0,31.0,66.0,31.0,69.0,,,3.0,12.0,4.0,12.0,5.0,2.0,14.0,5.0,8.0,20.0,10.0,11.0,5.0,2.0,1.0,0.0,9.5,6.5,1.29,,,,,,,,,9.5,6.5,1.25,2.25,1.57,,,,,,,0.11,0.15,0.78,,,,,,,,,0.11,0.15,0.8,0.44,0.64,,,,,,,2026-2027
